"Experiment"	"Retention time"	"Total ion current"	"Reverse"
"III12_210129"	79.233	1255100	"+"
"III23_210201"	120.01	3318800	NA
"III23_210129"	33.516	3459500	NA
"III23_18compl_210129"	20.229	1215100	"+"
"HEK_210203"	78.683	544620	NA
"HEK_210201"	107.8	776730	"+"
"III12_210129"	65.846	15832000	NA
"HEK_210203"	86.947	2061700	NA
"VIII27_210129"	108.5	4214300	NA
"III23_18compl_210129"	63.187	8068400	NA
"III23_210201"	121.03	1226500	"+"
"III23_210129"	89.432	2181400	NA
"III23_210201"	64.291	4456700	NA
"III23_18compl_210129"	42.512	2496600	"+"
"III23_18compl_210129"	112.95	1053600	NA
"VIII27_210129"	68.82	5860300	NA
"HEK_201204"	137.21	1068500	"+"
"III12_210129"	89.134	3554500	NA
"HEK_201204"	75.72	3232600	NA
"III23_18compl_210129"	64.337	265430	NA
"III23_210129"	58.832	1881300	NA
"VIII27_210129"	37.524	3087200	NA
"HEK_210203"	40.74	5349000	NA
"III12_210129"	130.36	59764	"+"
"VIII27_210129"	43.815	2892400	NA
"III23_210129"	54.109	4814000	NA
"III23_18compl_210129"	112.24	3065000	"+"
"III23_18compl_210129"	127.44	3590300	"+"
"VIII27_210129"	32.684	6202500	NA
"III23_210129"	84.003	2572200	NA
"III23_18compl_210129"	50.235	5212300	NA
"III12_210129"	32.001	63365000	NA
"III23_18compl_210129"	135.42	151250	"+"
"III23_210201"	108.2	772450	NA
"HEK_201204"	32.582	2798600	NA
"III23_210201"	37.75	69931000	NA
"HEK_201204"	49.125	1713100	NA
"HEK_210203"	42.61	5629100	"+"
"HEK_210203"	28.292	21218000	NA
"III23_18compl_210129"	118	190430	"+"
"HEK_210201"	50.641	2747000	NA
"III23_210129"	27.005	298630	"+"
"III12_210129"	58.04	3269100	NA
"HEK_210201"	39.103	5492800	NA
"III23_210201"	33.007	283450	NA
"III23_210129"	56.379	13210000	NA
"HEK_210203"	50.945	2355500	NA
"III23_18compl_210129"	67.32	2839300	NA
"HEK_210201"	57.088	2743300	"+"
"III12_210129"	51.32	17211000	NA
"HEK_210203"	12.977	29901	NA
"HEK_201204"	29.683	18855000	NA
"VIII27_210129"	90.494	2991800	NA
"HEK_201204"	82.425	1962700	"+"
"III23_210129"	64.962	5442000	NA
"HEK_201204"	89.041	7475500	NA
"HEK_210201"	58.749	9249200	NA
"III23_210201"	112.74	12094000	NA
"III23_210201"	129.99	414800	NA
"III12_210129"	82.631	999750	NA
"HEK_210201"	102.59	1231700	NA
"III23_210129"	38.582	4624600	NA
"HEK_201204"	36.169	13962000	NA
"VIII27_210129"	36.185	3570100	NA
"HEK_201204"	136.05	327640	"+"
"VIII27_210129"	126.77	355140	"+"
"III23_18compl_210129"	42.955	4083800	NA
"III23_210201"	112.04	3008400	"+"
"III12_210129"	40.953	11681000	NA
"HEK_201204"	121.35	1344500	NA
"HEK_210203"	38.568	4964400	NA
"VIII27_210129"	45.727	6456200	NA
"VIII27_210129"	88.505	11934000	NA
"III23_18compl_210129"	108.15	5416900	"+"
"III23_210129"	120.91	271870	NA
"III12_210129"	37.406	5012100	NA
"III12_210129"	121.18	921900	NA
"HEK_210201"	7.5469	21871	"+"
"HEK_210203"	84.83	9330000	NA
"HEK_210203"	36.389	4204900	"+"
"III23_210129"	29.346	6339700	NA
"VIII27_210129"	83.445	3613800	NA
"III23_210129"	60.619	7103800	NA
"VIII27_210129"	39.426	6108500	NA
"HEK_210201"	88.212	2912900	NA
"III23_210201"	20.968	4841000	NA
"HEK_210201"	31.062	735900	"+"
"VIII27_210129"	63.983	3655100	NA
"III23_18compl_210129"	76.165	36132000	NA
"III23_18compl_210129"	85.184	3132600	NA
"HEK_210203"	2.8296	95700	"+"
"III23_18compl_210129"	109.83	2200200	NA
"III12_210129"	37.141	255700	NA
"III23_18compl_210129"	46.565	14231000	NA
"III23_210129"	122.95	144940	"+"
"HEK_210203"	72.788	3227000	NA
"III12_210129"	103.52	5897200	NA
"VIII27_210129"	68.129	4154100	NA
"III12_210129"	62.889	2908600	"+"
"HEK_210201"	98.563	13225000	"+"
"III12_210129"	71.509	1702900	"+"
"HEK_201204"	75.357	3148500	NA
"III23_210129"	106	6738700	NA
"III12_210129"	130.21	58230	"+"
"III12_210129"	71.293	15627000	NA
"III23_18compl_210129"	125.98	15561000	NA
"III12_210129"	42.312	23551000	NA
"III23_18compl_210129"	31.803	10670000	NA
"VIII27_210129"	77.914	7102800	NA
"III12_210129"	61.894	2932400	NA
"III23_210129"	102.84	3534200	NA
"III12_210129"	40.295	4627800	NA
"HEK_210201"	87.182	26196000	NA
"III23_210129"	59.364	2851700	NA
"III23_18compl_210129"	39.503	19880000	NA
"III23_210129"	22.958	1975400	NA
"HEK_201204"	90.581	7260100	NA
"III12_210129"	68.662	10991000	NA
"VIII27_210129"	40.61	3105800	NA
"III23_18compl_210129"	24.346	353160	NA
"HEK_210203"	31.085	1706100	NA
"HEK_201204"	76.436	1784100	NA
"III23_210201"	53.085	5545800	NA
"HEK_210201"	21.132	732830	NA
"III23_210201"	105.7	3575100	"+"
"VIII27_210129"	40.686	11724000	NA
"VIII27_210129"	124.5	2442500	"+"
"III23_210201"	127.03	291340	"+"
"HEK_201204"	65.965	3416000	NA
"III12_210129"	94.307	5568000	NA
"III23_210129"	23.802	305730000	"+"
"III23_18compl_210129"	115.22	1179500	NA
"HEK_201204"	108.98	936580	NA
"III23_210201"	106.1	2948000	NA
"HEK_201204"	40.871	5387300	NA
"HEK_210201"	71.062	3117800	NA
"III23_18compl_210129"	57.087	10470000	NA
"III23_18compl_210129"	77.847	22292000	"+"
"III23_210129"	127.01	1350600	"+"
"III23_210201"	47.5	8221300	NA
"III23_210129"	102.55	2971100	NA
"HEK_201204"	100.71	68198000	NA
"VIII27_210129"	55.51	4054400	NA
"VIII27_210129"	34.942	5437200	NA
"III23_210129"	68.255	7302800	NA
"VIII27_210129"	131.31	152440	NA
"III23_210201"	49.523	12508000	NA
"HEK_210203"	64.502	12318000	NA
"III23_18compl_210129"	64.834	6219700	NA
"III12_210129"	38.028	14997000	NA
"HEK_210201"	119.09	1141700	"+"
"III23_210129"	70.569	3642800	NA
"III12_210129"	45.669	8327900	NA
"VIII27_210129"	48.963	5263900	"+"
"III12_210129"	110.59	1303400	"+"
"III23_18compl_210129"	126.58	396610	"+"
"III23_210201"	86.995	1132200	NA
"VIII27_210129"	107.36	1848900	NA
"HEK_210201"	130.18	549030	NA
"III23_18compl_210129"	39.686	1819400	NA
"HEK_201204"	109.85	376840	NA
"VIII27_210129"	102.79	1711400	"+"
"VIII27_210129"	52.325	4218500	NA
"III23_210201"	56.738	5464000	NA
