"Experiment"	"Retention time"	"Cycle time"	"MS/MS count"
"III23_210129"	103.97	6.628	109
"HEK_201204"	49.15	1.9427	36
"III23_210201"	4.0686	0.36012	1
"VIII27_210129"	137.07	0.4184	2
"III23_210129"	146.06	0.32684	0
"HEK_210201"	138.07	0.31952	0
"HEK_201204"	14.271	0.31946	0
"III23_210201"	138.05	0.32043	0
"HEK_210203"	138.47	0.31677	0
"III23_210201"	11.022	0.36764	1
"HEK_201204"	146.76	0.32593	0
"III23_210201"	13.076	0.47968	3
"HEK_210201"	3.956	0.3237	0
"VIII27_210129"	6.1122	0.3598	1
"III23_18compl_210129"	61.578	6.3018	111
"HEK_201204"	139.05	0.41931	2
"HEK_210201"	145.92	0.37079	1
"III23_18compl_210129"	101.08	2.0091	36
"III23_210129"	95.152	2.1231	36
"III23_210129"	62.655	6.3577	111
"III23_18compl_210129"	7.4813	0.3269	0
"III23_210201"	139.76	0.31952	0
"III12_210129"	11.045	0.32312	0
"III23_210201"	1.7018	0.42335	2
"HEK_210201"	10.225	0.32776	0
"HEK_210203"	32.487	2.271	40
"VIII27_210129"	144.32	0.37628	1
"HEK_210201"	3.7873	0.32365	0
"III23_210129"	2.2135	0.36661	1
"HEK_201204"	49.183	2.1428	38
"HEK_201204"	1.0872	0.32292	0
"HEK_210201"	143.27	0.55481	4
"III12_210129"	139.35	0.32043	0
"III23_210129"	49.199	2.0194	36
"III23_18compl_210129"	16.371	0.73002	7
"III23_210201"	46.178	1.9688	36
"HEK_201204"	146.24	0.32684	0
"HEK_210203"	22.586	6.2477	102
"HEK_201204"	136.95	0.54291	4
"HEK_210203"	98.102	2.0549	36
"HEK_201204"	12.947	0.54068	4
"III23_18compl_210129"	92.887	6.8614	116
"III12_210129"	0.89539	0.32336	0
"HEK_210201"	13.192	0.31923	0
"III23_210201"	112.79	6.9534	113
"III12_210129"	139.67	0.41931	2
"III23_18compl_210129"	140.09	0.36346	1
"III23_210201"	36.996	2.0911	40
"HEK_201204"	12.006	0.31832	0
"III23_18compl_210129"	65.037	2.1542	38
"HEK_201204"	140.39	0.42114	2
"VIII27_210129"	143.18	0.49255	3
"III23_210201"	94.569	2.065	36
"III23_210201"	92.024	2.0659	36
"HEK_210201"	75.245	6.5991	115
"III23_210201"	135.34	2.6038	37
"III23_210129"	5.6561	0.32278	0
"HEK_210203"	10.836	0.32867	0
"III23_18compl_210129"	90.611	1.9331	34
"HEK_210201"	14.567	0.31981	0
"III23_210129"	14.437	0.32106	0
"HEK_210203"	138.06	0.31952	0
"III23_210201"	89.347	6.7282	113
"III23_210201"	11.76	0.40157	2
"III12_210129"	14.208	0.32095	0
"VIII27_210129"	4.108	0.3229	0
"III23_210129"	134.85	3.3728	51
"III12_210129"	119.47	6.9557	108
"HEK_201204"	139.89	0.32135	0
"III23_18compl_210129"	0.67014	0.3252	0
"III23_18compl_210129"	10.65	0.37399	1
"VIII27_210129"	1.0175	0.32402	0
"HEK_210203"	13.88	0.32084	0
"VIII27_210129"	17.696	4.8734	75
"HEK_210203"	80.623	1.9322	34
"III23_18compl_210129"	23.178	6.6777	112
"III12_210129"	7.5457	0.32433	0
"III23_210201"	148.03	0.32501	0
"III12_210129"	148.83	0.36713	1
"III23_18compl_210129"	60.224	6.2247	108
"HEK_201204"	1.3325	0.32295	0
"VIII27_210129"	43.968	5.9177	109
"III12_210129"	32.753	2.0103	36
"HEK_210203"	141.07	0.31769	0
"III23_18compl_210129"	143.77	0.33417	0
"HEK_201204"	146.33	0.32501	0
"III12_210129"	27.558	4.9695	85
"III23_18compl_210129"	14.344	0.32089	0
"HEK_201204"	13.727	0.35643	1
"III23_210129"	135.89	0.30945	0
"III12_210129"	45.924	6.2345	110
"III23_210129"	5.0724	0.3667	1
"VIII27_210129"	22.883	4.7861	83
"III12_210129"	141.25	0.32135	0
"III12_210129"	12.965	0.72945	7
"III23_210201"	12.942	0.32095	0
"III23_18compl_210129"	11.165	0.40312	2
"III12_210129"	125.05	5.3801	82
"III23_18compl_210129"	15.847	0.4818	3
"HEK_201204"	8.3356	0.32461	0
"VIII27_210129"	1.0647	0.36789	1
"HEK_210201"	143.3	0.67749	6
"III23_210129"	14.789	0.36518	1
"III23_210201"	9.4095	0.42664	2
"III12_210129"	139.74	0.47974	3
"III12_210129"	73.017	6.2521	104
"III23_18compl_210129"	136.31	0.41016	2
"HEK_210203"	2.9393	0.32437	0
"III23_210201"	11.282	0.35872	1
"VIII27_210129"	146.75	0.32593	0
"III23_210129"	122.5	6.6147	102
"III23_210129"	21.696	6.7201	115
"HEK_210203"	0.24061	0.42252	2
"HEK_210203"	8.5498	0.32581	0
"III23_210129"	2.536	0.36806	1
"HEK_210201"	144.36	0.43121	2
"HEK_210203"	139.75	0.54108	4
"HEK_201204"	13.134	0.48157	3
"HEK_210201"	62.875	2.103	38
"III23_210201"	137.84	0.31952	0
"VIII27_210129"	44.474	2.1407	40
"III23_210201"	146.06	0.40924	2
"III12_210129"	5.5199	0.48646	3
"VIII27_210129"	137.12	0.41931	2
"VIII27_210129"	3.4599	0.32414	0
"III23_18compl_210129"	142.74	0.55389	4
"III23_210129"	133.25	2.0581	36
"VIII27_210129"	40.688	6.4655	117
"III23_210201"	1.3388	0.36878	1
"HEK_210201"	8.306	0.36072	1
"III12_210129"	140.67	0.3653	1
"III23_18compl_210129"	50.315	2.095	38
"VIII27_210129"	8.7905	0.36118	1
"HEK_210203"	73.313	6.4687	111
"HEK_201204"	25.172	6.6733	116
"III23_18compl_210129"	13.074	0.60328	5
"III12_210129"	148.57	0.36804	1
"III23_18compl_210129"	36.749	6.5156	113
"HEK_210201"	12.085	0.31958	0
"III23_18compl_210129"	141.3	0.60699	5
"VIII27_210129"	138.42	0.60425	5
"HEK_210203"	141.27	0.36346	1
"III23_18compl_210129"	1.6952	0.3243	0
"VIII27_210129"	10.694	0.32827	0
"HEK_210203"	14.131	0.32101	0
"III23_18compl_210129"	7.6562	0.3709	1
"VIII27_210129"	2.0482	0.36016	1
"HEK_201204"	14.591	0.36312	1
"HEK_210203"	148.76	0.3241	0
"HEK_201204"	7.468	0.32384	0
"III23_18compl_210129"	140.12	0.31952	0
"HEK_201204"	147.26	0.32593	0
"HEK_210203"	2.1545	0.42226	2
"HEK_210201"	14.394	0.36318	1
"III23_18compl_210129"	145.53	0.32867	0
"III23_210129"	138.99	0.35797	1
"HEK_210201"	147.03	0.32593	0
"III23_18compl_210129"	114.12	6.6724	105
"VIII27_210129"	137.23	0.41931	2
"VIII27_210129"	22.776	6.4003	110
"VIII27_210129"	149.35	0.32501	0
"HEK_210201"	136.96	0.41748	2
"III23_18compl_210129"	4.5612	0.36864	1
"HEK_201204"	147.76	0.32501	0
"HEK_201204"	79.17	2.1098	38
"HEK_201204"	110.3	6.6998	105
"HEK_201204"	138.1	0.41748	2
"VIII27_210129"	2.8485	0.32382	0
"HEK_201204"	14.992	0.41754	2
"HEK_210201"	125.66	6.703	102
"HEK_201204"	15.234	0.41817	2
"VIII27_210129"	142.13	0.48615	3
"HEK_210203"	140.36	0.42206	2
"III23_210201"	8.9736	0.36964	1
"HEK_201204"	136.04	1.4172	18
"VIII27_210129"	13.244	0.32015	0
"HEK_210201"	141.24	0.32043	0
"III12_210129"	6.9288	0.4977	3
"III23_210201"	140.46	0.31769	0
"VIII27_210129"	142.47	0.42938	2
"HEK_210203"	9.4162	0.36518	1
"HEK_210203"	63.555	6.4098	103
"HEK_201204"	136.42	0.3186	0
"HEK_210201"	13.722	0.36295	1
"HEK_210203"	148.97	0.36255	1
"HEK_210201"	143.52	0.41565	2
"III23_210201"	131.82	6.7456	102
"VIII27_210129"	144.74	0.33051	0
"III23_210201"	3.4613	0.3679	1
"HEK_210201"	1.908	0.3246	0
"HEK_210201"	108.42	6.9305	112
"III23_18compl_210129"	11.957	0.36335	1
"VIII27_210129"	138.15	0.3653	1
"III23_18compl_210129"	10.369	0.42767	2
"III12_210129"	63.045	6.592	115
"III23_18compl_210129"	8.8603	0.3269	0
"III12_210129"	3.5881	0.53483	4
"HEK_210201"	105.66	6.9196	113
"HEK_201204"	146.84	0.36255	1
"HEK_210203"	29.595	6.438	116
"III23_210129"	6.2111	0.36784	1
"HEK_210201"	2.5833	0.32427	0
"III12_210129"	142.18	0.4248	2
"III12_210129"	77.134	2.0023	38
"VIII27_210129"	147.34	0.32501	0
"III12_210129"	8.9171	0.32467	0
"III12_210129"	149.52	0.36163	1
"VIII27_210129"	132.6	2.1259	36
"III23_210201"	36.724	6.0148	114
"III23_18compl_210129"	142.65	0.55389	4
"III12_210129"	4.8137	0.36009	1
"III23_210129"	32.686	3.8239	66
"VIII27_210129"	148.31	0.32501	0
"VIII27_210129"	12.274	0.31918	0
"III23_210201"	136.41	0.48065	3
"III12_210129"	141.02	0.36438	1
"HEK_201204"	142.52	0.33142	0
"III23_210201"	52.907	2.1391	38
"HEK_210203"	4.491	0.32444	0
"III23_210201"	2.3046	0.48371	3
"HEK_210201"	7.1946	0.32473	0
"HEK_210201"	63.883	6.3675	106
"III23_210201"	138.3	0.35614	1
"III23_18compl_210129"	144.28	0.37811	1
"III23_210201"	14.983	0.48048	3
"HEK_201204"	2.8037	0.3235	0
"HEK_210203"	7.8114	0.32495	0
"HEK_210203"	93.365	6.5021	105
"III23_18compl_210129"	3.9258	0.32547	0
"III23_210201"	146.45	0.37079	1
"III23_210129"	4.7011	0.32324	0
"HEK_210203"	115.39	6.682	103
"HEK_210201"	5.77	0.32327	0
"HEK_210203"	9.2785	0.36409	1
"III12_210129"	144.44	0.37445	1
"VIII27_210129"	2.2218	0.32394	0
"HEK_210201"	11.061	0.3229	0
